School Name,City and State,Type,Conference,Division
Davis & Elkins College,"Elkins, West Virginia",Private,Mountain East Conference,NCAA D2
Dawson Community College,"Glendive, Montana",Public,Mon-Dak Conference,JC
Daytona State College,"Daytona Beach, Florida",Public,FCSAA,JC
De Anza College,"Cupertino, California",Public,Coast Conference,JC
Dean College,"Franklin, Massachusetts",Private,Great Northeast Athletic Conference,NCAA D3
Defiance College,"Defiance, Ohio",Private,Wolverine-Hoosier Athletic Conference,NAIA
Delaware County Community College,"Media, Pennsylvania",Public,Eastern Pennsylvania Athletic Conference,JC
Delaware State University,"Dover, Delaware",Public,Mid-Eastern Athletic Conference,NCAA D1
Delaware Technical Community College,"Dover, Delaware",Public,Eastern Pennsylvania Athletic Conference,JC
Delaware Valley University,"Doylestown, Pennsylvania",Private,Middle Atlantic Conferences,NCAA D3
Delgado Community College,"New Orleans, Louisiana",Public,Region 23,JC
Delta College – Michigan,"University Center, Michigan",Public,MCCAA,JC
Delta State University,"Cleveland, Mississippi",Public,Gulf South Conference,NCAA D2
Denison University,"Granville, Ohio",Private,North Coast Athletic Conference,NCAA D3
DePauw University,"Greencastle, Indiana",Private,North Coast Athletic Conference,NCAA D3
Des Moines Area Community College,"Ankeny, Iowa",Public,ICCAC,JC
DeSales University,"Center Valley, Pennsylvania",Private,Middle Atlantic Conferences,NCAA D3
Diablo Valley College,"Pleasant Hill, California",Public,BIG 8 Conference,JC
Dickinson College,"Carlisle, Pennsylvania",Private,Centennial Conference,NCAA D3
Dickinson State University,"Dickinson, North Dakota",Public,Frontier Conference,NAIA
Dillard University,"New Orleans, Louisiana",Private,HBCU Athletic Conference,NAIA
Doane University,"Crete, Nebraska",Private,Great Plains Athletic Conference,NAIA
